keys,pt_BR,en,es,fr
HUD_DEATH_STATS_NO_TIME,"Inimigos mortos: %d
Aliados feitos: %d
Dano causado: %d
Dano sofrido: %d","Enemies killed: %d
Allies made: %d
Damage dealt: %d
Damage taken: %d","Enemigos eliminados: %d
Aliados creados: %d
Daño causado: %d
Daño recibido: %d","Ennemis tués : %d
Alliés créés : %d
Dégâts infligés : %d
Dégâts subis : %d"
HUD_UNLOCK_TITLE,SKIN DESBLOQUEADA!,SKIN UNLOCKED!,¡SKIN DESBLOQUEADA!,APPARENCE DÉBLOQUÉE !
HUD_ITEM_UNLOCK_TITLE,ITEM DESBLOQUEADO!,ITEM UNLOCKED!,¡OBJETO DESBLOQUEADO!,OBJET DÉBLOQUÉ !
RELEASE_NOTES_TITLE,NOVA VERSÃO,NEW VERSION,NUEVA VERSION,NOUVELLE VERSION
RELEASE_NOTES_DISMISS,Entendi,Got it,Entendido,Compris
HUD_TOWER_ATTACKED,Torre sob ataque,Tower under attack,Torre bajo ataque,Tour attaquée
HUD_PAUSE_TITLE,PAUSADO,PAUSED,PAUSADO,EN PAUSE
HUD_PAUSE_CONTINUE,Continuar,Continue,Continuar,Continuer
HUD_PAUSE_SETTINGS,Configurações,Settings,Ajustes,Paramètres
HUD_PAUSE_MENU,Voltar ao Menu,Back to Menu,Volver al menú,Retour au menu
HUD_QUIT_CONFIRM_MSG,Tem certeza que deseja voltar ao menu? O progresso desta run será perdido.,Are you sure you want to return to the menu? This run's progress will be lost.,¿Seguro que quieres volver al menú? El progreso de esta partida se perderá.,Êtes-vous sûr de vouloir revenir au menu ? La progression de cette partie sera perdue.
HUD_QUIT_CONFIRM_YES,Sim,Yes,Sí,Oui
HUD_QUIT_CONFIRM_NO,Não,No,No,Non
SHOP_NEXT_WAVE,Próxima Wave,Next Raid,Siguiente Raid,Raid suivant
SHOP_NEXT_WAVE_FMT,Próxima Wave: %d,Next Raid: %d,Siguiente Raid: %d,Raid suivant : %d
SHOP_CLEARED_INFO_FMT,Limpou a wave %d em %s,Cleared raid %d in %s,Limpiaste la raid %d en %s,Raid %d nettoyée en %s
SHOP_RUN_TOTAL_FMT,Tempo total da run: %s,Total run time: %s,Tiempo total de run: %s,Temps total: %s
SHOP_CLEARED_NO_TIME,Limpou a wave %d!,Cleared raid %d!,¡Limpiaste la raid %d!,Raid %d nettoyée !
SHOP_GOLD_LABEL,%d moedas,%d coins,%d monedas,%d pièces
SHOP_HEADER_STRUCTURES,ESTRUTURAS,STRUCTURES,ESTRUCTURAS,STRUCTURES
SHOP_HEADER_STATUS,STATUS,STATUS,ESTADO,STATS
SHOP_HEADER_ALLIES,ALIADOS,ALLIES,ALIADOS,ALLIÉS
SHOP_HEADER_ITEMS,ITENS,ITEMS,OBJETOS,OBJETS
SHOP_HEADER_UPGRADES,UPGRADES,UPGRADES,MEJORAS,AMÉLIORATIONS
SHOP_UPG_CAT_ELEMENTAL,Elemental,Elemental,Elemental,Élémentaire
SHOP_UPG_CAT_ARROW_MOD,Tipo de flecha,Arrow type,Tipo de flecha,Type de flèche
SHOP_UPG_CAT_ARROW_VOLLEY,Salva de flechas,Arrow volley,Salva de flechas,Volée de flèches
SHOP_UPG_CAT_MOBILITY,Mobilidade,Mobility,Movilidad,Mobilité
SHOP_UPG_CAT_HINT,Só é possível escolher 1 upgrade da mesma categoria (%s) por run,You can only pick 1 upgrade from the same category (%s) per run,Solo puedes elegir 1 mejora de la misma categoría (%s) por partida,Vous ne pouvez choisir qu'une amélioration de la même catégorie (%s) par partie
SHOP_STAT_HP,Vida,HP,Vida,PV
SHOP_STAT_DAMAGE,Dano,Damage,Daño,Dégâts
SHOP_STAT_MOVE_SPEED,Vel. Mov.,Move,Vel. Mov.,Mvt.
SHOP_STAT_ATTACK_SPEED,Vel. Atk.,Atk Speed,Vel. Atk.,Vit. Atq.
SHOP_STAT_ARMOR,Armadura,Armor,Armadura,Armure
SHOP_STAT_DODGE,Esquiva,Dodge,Evasión,Esquive
SHOP_STAT_CDR,Recarga,Cooldown,Recarga,Recharge
SHOP_BONUS_PLUS_ONE,BÔNUS +1!,BONUS +1!,¡BONUS +1!,BONUS +1 !
SHOP_JOKER_NAME,Último Desejo,Last Wish,Último Deseo,Dernier Souhait
SHOP_UPG_ELEMENTAL_ROULETTE,Roleta Elemental,Elemental Roulette,Ruleta Elemental,Roulette Élémentaire
SHOP_ELEMENTAL_ROULETTE_DESC,Troca seu elemental Nv 3 por um elemental Nv 4 aleatório (outro diferente),Swap your Lv 3 elemental for a random Lv 4 elemental (a different one),Cambia tu elemental Nv 3 por un elemental Nv 4 aleatorio (otro distinto),Échange ton élémentaire Niv 3 contre un élémentaire Niv 4 aléatoire (un autre)
SHOP_ROULETTE_REVEAL_TITLE,ROLETA ELEMENTAL,ELEMENTAL ROULETTE,RULETA ELEMENTAL,ROULETTE ÉLÉMENTAIRE
SHOP_ROULETTE_REVEAL_RESULT,Novo elemental: %s — Nv 4!,New elemental: %s — Lv 4!,Nuevo elemental: %s — Nv 4!,Nouvel élémentaire : %s — Niv 4 !
SHOP_ROULETTE_REVEAL_OK,Boa!,Nice!,¡Bien!,Super !
SHOP_FIRE_TRAIL_TITLE,RASTRO DE FOGO,FIRE TRAIL,RASTRO DE FUEGO,TRAÎNÉE DE FEU
SHOP_FIRE_TRAIL_SUBTITLE,Ambos causam %d de dano/s — escolha onde o fogo cai,Both deal %d damage/s — choose where the fire drops,Ambos causan %d de daño/s — elige dónde cae el fuego,Les deux infligent %d dégâts/s — choisissez où le feu tombe
SHOP_FIRE_TRAIL_OPT_PLAYER,Rastro no Player,Player Trail,Rastro en el Jugador,Traînée du Joueur
SHOP_FIRE_TRAIL_OPT_ARROW,Rastro na Flecha,Arrow Trail,Rastro en la Flecha,Traînée de la Flèche
SHOP_FIRE_TRAIL_DESC_PLAYER,Cai no chão por onde você anda,Drops on the ground where you walk,Cae al suelo por donde caminas,Tombe au sol là où vous marchez
SHOP_FIRE_TRAIL_DESC_ARROW,A flecha deixa fogo no caminho,The arrow leaves fire in its path,La flecha deja fuego en su camino,La flèche laisse du feu sur son chemin
SHOP_JOKER_TOOLTIP_HEADER,Último Desejo,Last Wish,Último Deseo,Dernier Souhait
SHOP_JOKER_TOOLTIP_BODY,"Sobe +1 nível em qualquer status, pet ou upgrade que você já tenha.","Levels up +1 any status, pet or upgrade you already own.","Sube +1 nivel en cualquier estado, mascota o mejora que ya tengas.","Augmente de +1 niveau n'importe quel statut, allié ou amélioration que vous possédez déjà."
SHOP_JOKER_TOOLTIP_RARE,Carta rara · uso único por run,Rare card · one use per run,Carta rara · un solo uso por partida,Carte rare · un seul usage par partie
SHOP_JOKER_MODAL_TITLE,Último Desejo — escolha o que upar,Last Wish — pick what to level up,Último Deseo — elige qué subir,Dernier Souhait — choisissez quoi améliorer
SHOP_JOKER_MODAL_SECTION_STATUS,STATUS,STATUS,ESTADO,STATS
SHOP_JOKER_MODAL_SECTION_PETS,ALIADOS,ALLIES,ALIADOS,ALLIÉS
SHOP_JOKER_MODAL_SECTION_UPGRADES,UPGRADES,UPGRADES,MEJORAS,AMÉLIORATIONS
SHOP_JOKER_MODAL_EMPTY,Nada upgradável disponível,Nothing upgradable available,Nada mejorable disponible,Rien à améliorer
SHOP_PLACEMENT_HINT,Escolha um dos 5 pontos para posicionar  -  Aperte Z para voltar,Pick one of the 5 spots to place  -  Press Z to go back,Elige uno de los 5 puntos para colocar  -  Pulsa Z para volver,Choisissez un des 5 emplacements  -  Appuyez sur Z pour revenir
SHOP_COMING_SOON,Em breve,Coming soon,Próximamente,Bientôt
SHOP_BLOCKED,Bloqueado,Blocked,Bloqueado,Bloqué
SHOP_BOSS_NO_STRUCTURES,"Sem estruturas
no round do boss","No structures
on boss round","Sin estructuras
en la ronda del jefe","Pas de structures
au tour du boss"
SHOP_FREE_PET,Pet grátis!,Free pet!,¡Mascota gratis!,Animal gratuit !
SHOP_FREE_PET_DESC,"Recebido nesta
wave","Received this
raid","Recibido en este
raid","Reçu dans ce
raid"
SHOP_MAX_REACHED,Max (4/4) atingido,Max (4/4) reached,Máx (4/4) alcanzado,Max (4/4) atteint
SHOP_OWNED_UPGRADES_TITLE,Seus Upgrades,Your Upgrades,Tus Mejoras,Vos Améliorations
SHOP_SEE_ALL_UPGRADES,Ver todos,See all,Ver todos,Tout voir
SHOP_PET_LIMIT_REACHED,Limite de 2 pets atingido — venda um pra trocar,Pet limit (2) reached — sell one to swap,Límite de 2 pets — vende uno para cambiar,Limite de 2 pets — vendez-en un pour changer
SHOP_VER_MAIS,+ ver mais,+ see more,+ ver más,+ voir plus
SHOP_SELL_PET_TITLE,Vender %s?,Sell %s?,¿Vender %s?,Vendre %s ?
SHOP_SELL_PET_BODY,Você vai receber %d moedas (metade do total pago: %d).,You'll receive %d coins (half of total paid: %d).,Recibirás %d monedas (mitad del total pagado: %d).,Vous recevrez %d pièces (moitié du total payé : %d).
SHOP_SELL_PET_CONFIRM,Vender,Sell,Vender,Vendre
SHOP_SELL_PET_CANCEL,Cancelar,Cancel,Cancelar,Annuler
SHOP_LOCK_TITLE_SINGULAR,"Desbloqueia em
%d turno","Unlocks in
%d round","Se desbloquea en
%d turno","Se débloque dans
%d tour"
SHOP_LOCK_TITLE_PLURAL,"Desbloqueia em
%d turnos","Unlocks in
%d rounds","Se desbloquea en
%d turnos","Se débloque dans
%d tours"
SHOP_TOWER_NAME,Torre 80% dano,Tower 80% dmg,Torre 80% daño,Tour 80% dégâts
SHOP_TOWER_DESC,"Atira em inimigos
próximos. 80% dano.","Shoots nearby
enemies. 80% dmg.","Dispara a enemigos
cercanos. 80% daño.","Tire sur les ennemis
proches. 80% dégâts."
SHOP_FIRE_ARROW_NAME,FLECHA DE FOGO,FIRE ARROW,FLECHA DE FUEGO,FLÈCHE DE FEU
SHOP_HP_TITLE,+ HP MÁXIMO,+ MAX HP,+ HP MÁXIMO,+ PV MAX
SHOP_HP_PLUS_18,+18 HP,+18 HP,+18 HP,+18 PV
SHOP_HP_PLUS_20,+20 HP,+20 HP,+20 HP,+20 PV
SHOP_HP_PLUS_22,+22 HP,+22 HP,+22 HP,+22 PV
SHOP_HP_PLUS_25,+25 HP,+25 HP,+25 HP,+25 PV
SHOP_DAMAGE,+24% dano,+24% dmg,+24% daño,+24% dégâts
SHOP_ATTACK_SPEED,+23% vel. ataque,+23% atk speed,+23% vel. ataque,+23% vit. attaque
SHOP_MOVE_SPEED,+10% vel. movimento,+10% move speed,+10% vel. movimiento,+10% vit. déplacement
SHOP_ARMOR_12,(-12% dano e slow),(-12% dmg & slow),(-12% daño y slow),(-12% dégâts & slow)
SHOP_ARMOR_18,(-18% dano e slow),(-18% dmg & slow),(-18% daño y slow),(-18% dégâts & slow)
SHOP_ARMOR_22,(-22% dano e slow),(-22% dmg & slow),(-22% daño y slow),(-22% dégâts & slow)
SHOP_ARMOR_25,(-25% dano e slow),(-25% dmg & slow),(-25% daño y slow),(-25% dégâts & slow)
SHOP_ARMOR_3,(-3% dano e slow),(-3% dmg & slow),(-3% daño y slow),(-3% dégâts & slow)
SHOP_UPG_PERFURACAO,Perfuração,Piercing,Perforación,Perforation
SHOP_UPG_SPECTRAL,Flecha Espectral,Spectral Arrow,Flecha Espectral,Flèche Spectrale
SHOP_SPECTRAL_DESC_1,"A cada 2 inimigos que você matar com suas flechas, nasce uma flecha espectral que persegue (sem errar) outro inimigo próximo, causando 50% do dano e os mesmos efeitos. Se ela matar, repete a 60% do dano.","Every 2 enemies you kill with your arrows, a spectral arrow seeks (never missing) a nearby enemy, dealing 50% damage and the same effects. If it kills, it repeats at 60% damage.","Cada 2 enemigos que mates con tus flechas, una flecha espectral persigue (sin fallar) a un enemigo cercano, causando 50% del daño y los mismos efectos. Si mata, repite al 60% del daño.","Tous les 2 ennemis tués avec vos flèches, une flèche spectrale poursuit (sans rater) un ennemi proche, infligeant 50% des dégâts et les mêmes effets. Si elle tue, elle répète à 60% des dégâts."
SHOP_SPECTRAL_DESC_2,A flecha espectral causa 75% do dano.,The spectral arrow deals 75% damage.,La flecha espectral causa 75% del daño.,La flèche spectrale inflige 75% des dégâts.
SHOP_SPECTRAL_DESC_3,"Saem duas flechas espectrais, em dois inimigos aleatórios.","Two spectral arrows spawn, at two random enemies.","Salen dos flechas espectrales, hacia dos enemigos aleatorios.","Deux flèches spectrales apparaissent, vers deux ennemis aléatoires."
SHOP_SPECTRAL_DESC_4,"85% do dano e três flechas espectrais, em três inimigos aleatórios.","85% damage and three spectral arrows, at three random enemies.","85% del daño y tres flechas espectrales, hacia tres enemigos aleatorios.","85% des dégâts et trois flèches spectrales, vers trois ennemis aléatoires."
SHOP_UPG_MULTI_ARROW,Múltiplas Flechas,Multiple Arrows,Flechas Múltiples,Flèches Multiples
SHOP_UPG_DOUBLE_ARROWS,Flechas Duplas,Double Arrows,Flechas Dobles,Flèches Doubles
SHOP_UPG_CHAIN_LIGHTNING,Cadeia de Raios,Chain Lightning,Cadena de Rayos,Chaîne d'Éclairs
SHOP_UPG_LIFE_STEAL,Mestre da Cura,Heal Master,Maestro de Cura,Maître Soigneur
SHOP_UPG_GOLD_MAGNET,Chuva de Coins,Coin Rain,Lluvia de Monedas,Pluie de Pièces
SHOP_UPG_DASH,Deslizando,Sliding,Deslizar,Esquive
SHOP_UPG_ESQUIVANDO,Esquivando,Dodging,Esquivando,Esquivant
SHOP_UPG_FENDA,Fenda Crepuscular,Twilight Rift,Grieta Crepuscular,Faille Crépusculaire
SHOP_UPG_ADRENALINA,Adrenalina,Adrenaline,Adrenalina,Adrénaline
SHOP_UPG_RICOCHET,Flecha Ricochete,Ricochet Arrow,Flecha Rebotadora,Flèche Ricochet
SHOP_UPG_GRAVITON,Gráviton,Graviton,Gravitón,Graviton
SHOP_UPG_FIRE_ARROW,Flecha de Fogo,Fire Arrow,Flecha de Fuego,Flèche de Feu
SHOP_UPG_CURSE_ARROW,Disparo Profano,Profane Shot,Disparo Profano,Tir Profane
SHOP_UPG_ICE_ARROW,Fica Frio,Stay Frosty,Mantente Fresco,Reste Calme
SHOP_UPG_STONE_ARROW,Disparo de Pedra,Stone Shot,Disparo de Piedra,Tir de Pierre
SHOP_UPG_TIDE_ARROW,Fúria da Maré,Tide's Fury,Furia de la Marea,Fureur de la Marée
SHOP_UPG_BOOMERANG,Boomerang Veloz,Swift Boomerang,Bumerán Veloz,Boomerang Rapide
SHOP_UPG_CRITICAL_CHANCE,Flechas Críticas,Critical Arrows,Flechas Críticas,Flèches Critiques
SHOP_CRITICAL_CHANCE_DESC_1,30% de chance de crítico em todas as fontes (crítico causa +50% de dano e mais knockback),30% crit chance from all sources (crits deal +50% damage and extra knockback),30% de probabilidad de crítico de todas las fuentes (los críticos causan +50% de daño y más empuje),30% de chance de critique de toutes les sources (les critiques infligent +50% de dégâts et plus de recul)
SHOP_CRITICAL_CHANCE_DESC_2,50% de chance de crítico (+50% de dano no crítico),50% crit chance (+50% crit damage),50% de probabilidad de crítico (+50% de daño crítico),50% de chance de critique (+50% de dégâts critiques)
SHOP_CRITICAL_CHANCE_DESC_3,70% de chance de crítico (+60% de dano no crítico),70% crit chance (+60% crit damage),70% de probabilidad de crítico (+60% de daño crítico),70% de chance de critique (+60% de dégâts critiques)
SHOP_CRITICAL_CHANCE_DESC_4,100% de chance de crítico (+65% de dano no crítico),100% crit chance (+65% crit damage),100% de probabilidad de crítico (+65% de daño crítico),100% de chance de critique (+65% de dégâts critiques)
DMG_PANEL_BOOMERANG,Boomerang Veloz,Swift Boomerang,Bumerán Veloz,Boomerang Rapide
DMG_PANEL_TIGER_CLAWS,Garras de Tigre,Tiger Claws,Garras de Tigre,Griffes de Tigre
DMG_PANEL_FENDA,Fenda Crepuscular,Twilight Rift,Grieta Crepuscular,Faille Crépusculaire
DMG_PANEL_FROSTWISP,Brisa Gelada,Frostwisp,Frostwisp,Frostwisp
DMG_PANEL_DARK_BALL,Dark Ball,Dark Ball,Dark Ball,Dark Ball
DMG_PANEL_DARK_BALL_BURN,Veneno da Dark Ball,Dark Ball Venom,Veneno de Dark Ball,Venin de Dark Ball
DMG_PANEL_DARK_BALL_VENOM,Fumaça da Dark Ball,Dark Ball Smoke,Niebla de Dark Ball,Brume de Dark Ball
HUD_DEATH_DMG_BREAKDOWN_TITLE,Dano por fonte:,Damage by source:,Daño por fuente:,Dégâts par source :
SHOP_BOOMERANG_DESC_1,"A cada 5s lança um bumerangue no inimigo mais próximo, causando 15 de dano na ida e na volta","Every 5s throws a boomerang at the nearest enemy, dealing 15 damage going and returning","Cada 5s lanza un bumerán al enemigo más cercano, causando 15 de daño a la ida y a la vuelta","Toutes les 5s lance un boomerang sur l'ennemi le plus proche, infligeant 15 dégâts à l'aller et au retour"
SHOP_BOOMERANG_DESC_2,CD reduzido para 4s e dano aumentado para 20,CD reduced to 4s and damage raised to 20,CD reducido a 4s y daño aumentado a 20,CD réduit à 4s et dégâts portés à 20
SHOP_BOOMERANG_DESC_3,+1 bumerangue (total 2) na direção oposta e dano aumentado para 25,+1 boomerang (2 total) in the opposite direction and damage raised to 25,+1 bumerán (2 en total) en dirección opuesta y daño aumentado a 25,+1 boomerang (2 au total) dans la direction opposée et dégâts portés à 25
SHOP_BOOMERANG_DESC_4,+2 bumerangues (total 4) em todas as direções e dano aumentado para 30,+2 boomerangs (4 total) in all directions and damage raised to 30,+2 bumeranes (4 en total) en todas las direcciones y daño aumentado a 30,+2 boomerangs (4 au total) dans toutes les directions et dégâts portés à 30
SHOP_UPG_TIGER_CLAWS,Garras de Tigre,Tiger Claws,Garras de Tigre,Griffes de Tigre
SHOP_TIGER_CLAWS_DESC_1,Garras arranham um alvo aleatório duas vezes (25 de dano cada) a cada 7s,Claws scratch a random target twice (25 damage each) every 7s,Las garras arañan a un objetivo aleatorio dos veces (25 de daño cada una) cada 7s,Les griffes lacèrent une cible aléatoire deux fois (25 dégâts chacune) toutes les 7s
SHOP_TIGER_CLAWS_DESC_2,2 alvos aleatórios e 27 de dano por arranhada,2 random targets and 27 damage per scratch,2 objetivos aleatorios y 27 de daño por arañazo,2 cibles aléatoires et 27 dégâts par lacération
SHOP_TIGER_CLAWS_DESC_3,"3 alvos, 40 de dano por arranhada e agora a cada 4,8s","3 targets, 40 damage per scratch and now every 4.8s","3 objetivos, 40 de daño por arañazo y ahora cada 4,8s","3 cibles, 40 dégâts par lacération et désormais toutes les 4,8s"
SHOP_TIGER_CLAWS_DESC_4,"4 alvos aleatórios, 48 de dano por arranhada e a cada 4s","4 random targets, 48 damage per scratch and every 4s","4 objetivos aleatorios, 48 de daño por arañazo y cada 4s","4 cibles aléatoires, 48 dégâts par lacération et toutes les 4s"
SHOP_ALLY_CLAUDIO_DRUIDA,Claudio o Druida,Claudio the Druid,Claudio el Druida,Claudio le Druide
SHOP_ALLY_LENO,Amigo Leno,Friend Leno,Amigo Leno,Ami Leno
SHOP_ALLY_TILISKO,Tilisko Arqueiro,Tilisko Archer,Tilisko Arquero,Tilisko Archer
SHOP_ALLY_TILISKO_DESC_1,"Um pinguim arqueiro que fica perto de você e atira junto a cada disparo seu, mirando na sua direção. A flecha causa 20% do seu dano e aplica os mesmos efeitos.","A penguin archer that stays near you and shoots with every shot you take, aiming your way. The arrow deals 20% of your damage and applies the same effects.","Un pingüino arquero que se queda cerca de ti y dispara con cada tiro tuyo, apuntando en tu dirección. La flecha causa 20% de tu daño y aplica los mismos efectos.","Un pingouin archer qui reste près de vous et tire à chacun de vos tirs, visant dans votre direction. La flèche inflige 20% de vos dégâts et applique les mêmes effets."
SHOP_ALLY_TILISKO_DESC_2,A flecha do Tilisko causa 30% do seu dano.,Tilisko's arrow deals 30% of your damage.,La flecha de Tilisko causa 30% de tu daño.,La flèche de Tilisko inflige 30% de vos dégâts.
SHOP_ALLY_TILISKO_DESC_3,"A flecha causa 60% do seu dano, e o Tilisko tem 30% de chance de mirar num inimigo aleatório da tela.","The arrow deals 60% of your damage, and Tilisko has a 30% chance to aim at a random enemy on screen.","La flecha causa 60% de tu daño, y Tilisko tiene 30% de probabilidad de apuntar a un enemigo aleatorio en pantalla.","La flèche inflige 60% de vos dégâts, et Tilisko a 30% de chance de viser un ennemi aléatoire à l'écran."
SHOP_ALLY_TILISKO_DESC_4,"As flechas do Tilisko passam a seguir TODAS as suas categorias: perfuram, ricocheteiam, saem múltiplas/duplas e espectrais.","Tilisko's arrows now follow ALL your categories: they pierce, ricochet, fire multiple/double and spectral.","Las flechas de Tilisko ahora siguen TODAS tus categorías: perforan, rebotan, salen múltiples/dobles y espectrales.","Les flèches de Tilisko suivent désormais TOUTES vos catégories : perforation, ricochet, multiples/doubles et spectrales."
SHOP_ALLY_CAPIVARA,Capivara Joe,Capybara Joe,Capibara Joe,Capybara Joe
SHOP_ALLY_TING,Mecânico Ting,Ting the Mechanic,Ting el Mecánico,Ting le Mécanicien
SHOP_ALLY_MINI_MAGO,Mini Mago,Mini Mage,Mini Mago,Mini Mage
SHOP_ALLY_ARBUSTO,Pai do verde e verde,Father of green and green,Padre del verde y verde,Père du vert et vert
SHOP_ARBUSTO_DESC_1,"Ganha o Pai do Verde, que corre pelo mapa e para virando um esconderijo. Ao se esconder nele você fica invulnerável, os inimigos perdem o foco (vão atrás do mini verde, 120 HP) e você ganha +12% de velocidade de ataque e +5 de dano por flecha","Gain the Father of Green, who runs across the map and stops to become a hiding spot. Hiding in it makes you invulnerable, enemies lose focus (they chase the little green, 120 HP) and you gain +12% attack speed and +5 damage per arrow","Obtienes al Padre del Verde, que corre por el mapa y se detiene volviéndose un escondite. Al esconderte te vuelves invulnerable, los enemigos pierden el foco (van tras el mini verde, 120 HP) y ganas +12% de velocidad de ataque y +5 de daño por flecha","Obtenez le Père du Vert, qui parcourt la carte et s'arrête en devenant une cachette. En vous y cachant vous devenez invulnérable, les ennemis perdent leur cible (ils poursuivent le petit vert, 120 PV) et vous gagnez +12% de vitesse d'attaque et +5 de dégâts par flèche"
SHOP_ARBUSTO_DESC_2,O esconderijo passa a dar +20% de velocidade de ataque e +9 de dano por flecha,The hiding spot now gives +20% attack speed and +9 damage per arrow,El escondite ahora da +20% de velocidad de ataque y +9 de daño por flecha,La cachette donne désormais +20% de vitesse d'attaque et +9 de dégâts par flèche
SHOP_ARBUSTO_DESC_3,Ganha 2 minis verdes (150 HP cada) e o Pai do Verde vira esconderijo com mais frequência,Gain 2 little greens (150 HP each) and the Father of Green becomes a hiding spot more often,Obtienes 2 minis verdes (150 HP cada uno) y el Padre del Verde se vuelve escondite con más frecuencia,Obtenez 2 petits verts (150 PV chacun) et le Père du Vert devient une cachette plus souvent
SHOP_ARBUSTO_DESC_4,"O esconderijo dá +30% de velocidade de ataque, +14 de dano por flecha e cada acerto enquanto escondido te cura 5 HP","The hiding spot gives +30% attack speed, +14 damage per arrow and each hit while hidden heals you 5 HP","El escondite da +30% de velocidad de ataque, +14 de daño por flecha y cada acierto mientras estás escondido te cura 5 HP","La cachette donne +30% de vitesse d'attaque, +14 de dégâts par flèche et chaque coup porté en étant caché vous soigne de 5 PV"
SHOP_MINI_MAGO_DESC_1,"Ganha o Mini Mago, que a cada 8s invoca um macaco aliado pra lutar ao seu lado","Gain the Mini Mage, who every 8s summons an ally monkey to fight by your side","Obtienes al Mini Mago, que cada 8s invoca un mono aliado para luchar a tu lado","Obtenez le Mini Mage, qui toutes les 8s invoque un singe allié pour combattre à vos côtés"
SHOP_MINI_MAGO_DESC_2,"Invoca a cada 6s e os macacos vêm 25% mais fortes (HP, dano, velocidade de ataque e de movimento)","Summons every 6s and monkeys come 25% stronger (HP, damage, attack and movement speed)","Invoca cada 6s y los monos vienen 25% más fuertes (HP, daño, velocidad de ataque y de movimiento)","Invoque toutes les 6s et les singes arrivent 25% plus forts (PV, dégâts, vitesse d'attaque et de déplacement)"
SHOP_MINI_MAGO_DESC_3,Passa a invocar 2 macacos por vez (mantendo os bônus),Now summons 2 monkeys at a time (keeping the bonuses),Ahora invoca 2 monos a la vez (manteniendo los bonos),Invoque désormais 2 singes à la fois (en gardant les bonus)
SHOP_MINI_MAGO_DESC_4,Passa a invocar 3 macacos por vez (mantendo os bônus),Now summons 3 monkeys at a time (keeping the bonuses),Ahora invoca 3 monos a la vez (manteniendo los bonos),Invoque désormais 3 singes à la fois (en gardant les bonus)
SHOP_HP_DESC_1,+18 HP máximo,+18 max HP,+18 HP máximo,+18 PV max
SHOP_HP_DESC_2,+20 HP máximo,+20 max HP,+20 HP máximo,+20 PV max
SHOP_HP_DESC_3,+22 HP máximo,+22 max HP,+22 HP máximo,+22 PV max
SHOP_HP_DESC_4,+25 HP máximo,+25 max HP,+25 HP máximo,+25 PV max
SHOP_ARMOR_DESC_1,12% de redução do dano e slow sofrido,12% reduction of damage and slow taken,12% de reducción del daño y ralentización recibidos,12% de réduction des dégâts et ralentissement subis
SHOP_ARMOR_DESC_2,18% de redução do dano e slow sofrido,18% reduction of damage and slow taken,18% de reducción del daño y ralentización recibidos,18% de réduction des dégâts et ralentissement subis
SHOP_ARMOR_DESC_3,22% de redução do dano e slow sofrido,22% reduction of damage and slow taken,22% de reducción del daño y ralentización recibidos,22% de réduction des dégâts et ralentissement subis
SHOP_ARMOR_DESC_4,25% de redução do dano e slow sofrido,25% reduction of damage and slow taken,25% de reducción del daño y ralentización recibidos,25% de réduction des dégâts et ralentissement subis
SHOP_ARMOR_DESC_5,+3% de redução do dano e slow sofrido por compra,+3% damage and slow reduction per purchase,+3% de reducción de daño y ralentización por compra,+3% de réduction des dégâts et ralentissement par achat
SHOP_DAMAGE_DESC,+24% de dano em todas as fontes,+24% damage from all sources,+24% de daño de todas las fuentes,+24% de dégâts de toutes les sources
SHOP_PERFURACAO_DESC_1,"A cada 3 ataques, sua flecha atravessa inimigos e objetos e causa +30% de dano no 1º alvo","Every 3 attacks, your arrow pierces enemies and objects and deals +30% damage to the 1st target","Cada 3 ataques, tu flecha perfora enemigos y objetos y causa +30% de daño al 1er objetivo","Toutes les 3 attaques, votre flèche perfore ennemis et objets et inflige +30% de dégâts à la 1re cible"
SHOP_PERFURACAO_DESC_2,+60% de dano no 1º alvo e hitbox maior,+60% damage to the 1st target and bigger hitbox,+60% de daño al 1er objetivo y hitbox más grande,+60% de dégâts à la 1re cible et hitbox plus grande
SHOP_PERFURACAO_DESC_3,Agora atravessa a cada 2 ataques e +90% de dano no 1º alvo,Now pierces every 2 attacks and +90% damage to the 1st target,Ahora perfora cada 2 ataques y +90% de daño al 1er objetivo,Perfore désormais toutes les 2 attaques et +90% de dégâts à la 1re cible
SHOP_PERFURACAO_DESC_4,Todo ataque atravessa,Every attack pierces,Cada ataque perfora,Chaque attaque perfore
SHOP_ATTACK_SPEED_DESC,+23% de velocidade de ataque,+23% attack speed,+23% de velocidad de ataque,+23% de vitesse d'attaque
SHOP_MULTI_ARROW_DESC_1,"Dispara +2 flechas laterais a cada ataque, causando 30% do dano","Fires +2 side arrows each attack, dealing 30% damage","Dispara +2 flechas laterales en cada ataque, causando 30% del daño","Tire +2 flèches latérales à chaque attaque, infligeant 30% des dégâts"
SHOP_MULTI_ARROW_DESC_2,Flechas laterais passam a causar 65% do dano,Side arrows now deal 65% damage,Las flechas laterales ahora causan 65% del daño,Les flèches latérales infligent désormais 65% des dégâts
SHOP_MULTI_ARROW_DESC_3,Flechas laterais passam a causar 75% do dano,Side arrows now deal 75% damage,Las flechas laterales ahora causan 75% del daño,Les flèches latérales infligent désormais 75% des dégâts
SHOP_MULTI_ARROW_DESC_4,"Aumenta para +4 flechas laterais, causando 85% do dano","Increases to +4 side arrows, dealing 85% damage","Aumenta a +4 flechas laterales, causando 85% del daño","Passe à +4 flèches latérales, infligeant 85% des dégâts"
